BotName, Behaviour, PositionX, PositionY, OrientationX, OrientationY,  DistanceToEnemyFlag, DistanceToOwnFlag, DistanceToEnemyBase, DistanceToOwnBase, DistanceToEnemyFlagScore, DistanceToOwnFlagScore, DistanceToEnemyFlagSpawn, DistanceToOwnFlagSpawn, Visibility, DistanceToNearestEnemy, GameState


8, 1, 32.106625, 27.65383, 0.9916933, -0.12862515, 52, 45, 40, 64, 47, 39, 53, 45, 43, 1000000, 3
8, 1, 34.30747, 27.410156, 0.9928931, -0.119010806, 50, 43, 42, 62, 45, 37, 51, 43, 42, 1000000, 3
8, 1, 34.332756, 27.391079, 0.8859763, -0.4637307, 50, 43, 42, 62, 45, 37, 51, 43, 42, 1000000, 3
8, 1, 34.46596, 27.28634, 0.8118404, -0.5838797, 50, 43, 42, 62, 45, 37, 51, 43, 42, 1000000, 3
8, 1, 34.7755, 27.042952, 0.7922161, -0.61024094, 48, 43, 42, 62, 45, 37, 51, 43, 42, 1000000, 3
8, 1, 35.30651, 26.625422, 0.78752863, -0.6162783, 45, 41, 44, 62, 43, 35, 49, 41, 42, 1000000, 3
8, 1, 35.644966, 26.3593, 0.78643197, -0.61767757, 44, 41, 44, 62, 43, 35, 49, 41, 42, 1000000, 3
8, 1, 36.245617, 26.309332, 0.9595669, -0.28148115, 41, 40, 45, 61, 42, 34, 48, 40, 47, 1000000, 3
8, 1, 36.88344, 26.122528, 0.95965916, -0.28116584, 41, 40, 45, 61, 42, 34, 48, 40, 47, 1000000, 3
8, 1, 37.580746, 25.419611, 0.78251666, -0.62262917, 38, 38, 47, 61, 40, 32, 46, 38, 48, 1000000, 3
8, 1, 38.436733, 24.927021, 0.864652, -0.50237167, 35, 36, 49, 61, 38, 30, 44, 36, 55, 1000000, 3
8, 1, 39.17444, 24.584314, 0.8977483, -0.44050884, 33, 35, 50, 60, 37, 29, 43, 35, 59, 1000000, 3
8, 1, 39.779617, 24.303017, 0.9048185, -0.42579782, 32, 35, 50, 60, 37, 29, 43, 35, 59, 1000000, 3
8, 1, 40.413506, 23.984243, 0.8961053, -0.44384158, 30, 33, 52, 60, 35, 27, 41, 33, 62, 1000000, 3
8, 1, 41.20447, 23.586477, 0.89402735, -0.44801307, 28, 34, 53, 59, 34, 28, 40, 34, 64, 1000000, 3
8, 1, 41.185913, 22.916481, 0.117109254, -0.99311924, 26, 33, 54, 60, 33, 27, 39, 33, 64, 1000000, 3
8, 1, 40.741375, 22.487343, -0.55550337, -0.83151376, 26, 32, 53, 61, 34, 26, 40, 32, 60, 1000000, 3
8, 1, 40.792828, 22.033335, 0.094780445, -0.9954978, 25, 32, 53, 61, 34, 26, 40, 32, 60, 1000000, 3
8, 1, 41.19792, 21.666674, 0.6154875, -0.78814685, 23, 32, 55, 61, 32, 26, 38, 32, 63, 1000000, 3
8, 1, 41.80925, 21.113348, 0.71394664, -0.7002003, 22, 32, 55, 61, 32, 26, 38, 32, 63, 1000000, 3
8, 1, 42.55832, 20.435354, 0.7351225, -0.67793465, 19, 32, 57, 61, 30, 26, 36, 32, 64, 1000000, 3
