BotName, Behaviour, PositionX, PositionY, OrientationX, OrientationY,  DistanceToEnemyFlag, DistanceToOwnFlag, DistanceToEnemyBase, DistanceToOwnBase, DistanceToEnemyFlagScore, DistanceToOwnFlagScore, DistanceToEnemyFlagSpawn, DistanceToOwnFlagSpawn, Visibility, DistanceToNearestEnemy, GameState


6, 0, 41.01084, 2.065555, 0.9997402, 0.022791505, 41, 60, 26, 2, 81, 92, 41, 60, 13, 24, 3

6, 0, 41.01084, 2.065555, 0.9997402, 0.022791505, 41, 60, 26, 2, 81, 92, 41, 60, 13, 24, 3

6, 0, 41.01084, 2.065555, 0.9997402, 0.022791505, 41, 60, 26, 2, 81, 92, 41, 60, 13, 24, 3

6, 0, 41.005688, 2.0652957, 0.6263058, -0.7795776, 41, 60, 26, 2, 81, 92, 41, 60, 13, 1000000, 3
6, 0, 40.926064, 2.2417433, 0.27714503, 0.9608281, 40, 59, 25, 1, 80, 91, 40, 59, 14, 1000000, 3
6, 0, 40.769016, 2.5897799, -0.25129008, 0.96791184, 40, 59, 25, 1, 80, 91, 40, 59, 14, 1000000, 3
6, 0, 40.58175, 3.004778, -0.37364677, 0.92757106, 39, 58, 24, 0, 79, 90, 39, 58, 14, 1000000, 3
6, 0, 40.44975, 3.2972965, -0.40257576, 0.9153867, 39, 58, 24, 0, 79, 90, 39, 58, 14, 1000000, 3
6, 0, 40.2824, 3.6681592, -0.40920883, 0.9124408, 39, 58, 24, 0, 79, 90, 39, 58, 14, 1000000, 3
6, 0, 40.119934, 4.028199, -0.41081253, 0.91171986, 38, 57, 23, 1, 78, 89, 38, 57, 13, 1000000, 3
6, 0, 39.952835, 4.398494, -0.4111933, 0.9115482, 37, 56, 22, 2, 77, 88, 37, 56, 14, 1000000, 3
6, 0, 39.79907, 4.739247, -0.41128248, 0.91150796, 37, 56, 22, 2, 77, 88, 37, 56, 14, 1000000, 3
6, 0, 39.56871, 5.0453043, -0.60610676, 0.7953834, 38, 55, 21, 3, 76, 87, 38, 55, 13, 1000000, 3
6, 0, 39.264828, 5.299241, -0.7316955, 0.68163174, 38, 55, 21, 3, 76, 87, 38, 55, 13, 1000000, 3
6, 0, 39.005127, 5.5162597, -0.7590869, 0.65098935, 38, 55, 21, 3, 76, 87, 38, 55, 13, 1000000, 3
6, 0, 38.67895, 5.819247, -0.72905934, 0.68445057, 37, 54, 20, 4, 75, 86, 37, 54, 17, 11, 3
6, 0, 38.563698, 6.1805196, -0.36998126, 0.92903924, 38, 53, 19, 5, 74, 85, 38, 53, 20, 10, 3
6, 0, 38.495808, 6.6102934, -0.20789556, 0.978151, 38, 53, 19, 5, 74, 85, 38, 53, 20, 9, 3
6, 0, 38.45136, 6.8916497, -0.16893806, 0.9856267, 38, 53, 19, 5, 74, 85, 38, 53, 20, 9, 3
6, 0, 38.38042, 7.3406816, -0.15910023, 0.9872624, 39, 52, 18, 6, 73, 84, 39, 52, 29, 8, 3

6, 0, 38.23814, 7.0035, 0.0870319, 0.9962055, 21, 52, 18, 6, 73, 84, 39, 52, 29, 13, 3
